Gate,Input1 Symbol,Input1 Value,Input2 Symbol,Input2 Value,Output Symbol,Output Value,Output Voltage
AND,A,1,A,1,A,1,3.3
AND,A,1,U,0,U,0,1.65
AND,A,1,M,-1,M,-1,0.0
AND,U,0,A,1,U,0,1.65
AND,U,0,U,0,U,0,1.65
AND,U,0,M,-1,M,-1,0.0
AND,M,-1,A,1,M,-1,0.0
AND,M,-1,U,0,M,-1,0.0
AND,M,-1,M,-1,M,-1,0.0
OR,A,1,A,1,A,1,3.3
OR,A,1,U,0,A,1,3.3
OR,A,1,M,-1,A,1,3.3
OR,U,0,A,1,A,1,3.3
OR,U,0,U,0,U,0,1.65
OR,U,0,M,-1,U,0,1.65
OR,M,-1,A,1,A,1,3.3
OR,M,-1,U,0,U,0,1.65
OR,M,-1,M,-1,M,-1,0.0
NAND,A,1,A,1,M,-1,0.0
NAND,A,1,U,0,U,0,1.65
NAND,A,1,M,-1,A,1,3.3
NAND,U,0,A,1,U,0,1.65
NAND,U,0,U,0,U,0,1.65
NAND,U,0,M,-1,A,1,3.3
NAND,M,-1,A,1,A,1,3.3
NAND,M,-1,U,0,A,1,3.3
NAND,M,-1,M,-1,A,1,3.3
NOR,A,1,A,1,M,-1,0.0
NOR,A,1,U,0,M,-1,0.0
NOR,A,1,M,-1,M,-1,0.0
NOR,U,0,A,1,M,-1,0.0
NOR,U,0,U,0,U,0,1.65
NOR,U,0,M,-1,U,0,1.65
NOR,M,-1,A,1,M,-1,0.0
NOR,M,-1,U,0,U,0,1.65
NOR,M,-1,M,-1,A,1,3.3
XOR,A,1,A,1,M,-1,0.0
XOR,A,1,U,0,U,0,1.65
XOR,A,1,M,-1,A,1,3.3
XOR,U,0,A,1,U,0,1.65
XOR,U,0,U,0,M,-1,0.0
XOR,U,0,M,-1,U,0,1.65
XOR,M,-1,A,1,A,1,3.3
XOR,M,-1,U,0,U,0,1.65
XOR,M,-1,M,-1,M,-1,0.0
XNOR,A,1,A,1,A,1,3.3
XNOR,A,1,U,0,U,0,1.65
XNOR,A,1,M,-1,M,-1,0.0
XNOR,U,0,A,1,U,0,1.65
XNOR,U,0,U,0,A,1,3.3
XNOR,U,0,M,-1,U,0,1.65
XNOR,M,-1,A,1,M,-1,0.0
XNOR,M,-1,U,0,U,0,1.65
XNOR,M,-1,M,-1,A,1,3.3
